Trunc. area,42,38.57,1,3.83E-06,,,add8,9,42,359.9,add8u
Trunc. area,42,35.38,2,3.45E-05,,,add32,33,184.6,1843.3,rca32
Trunc. area,42,32.45,3,0.000187652,,,mult8,16,435.4,1255.2,am8
Trunc. area,42,27.66,4,0.000861669,,,mult16,32,1418.8,1981.5,
Trunc. area,42,24.21,5,0.003680286,,,mult32,64,5723.3,1873.5,
Trunc. delay,359.9,355.49,1,3.83E-06,,,,,,,
Trunc. delay,359.9,389.34,2,3.45E-05,,,,,,,
Trunc. delay,359.9,294.96,3,0.000187652,,,,,,,
Trunc. delay,359.9,301.71,4,0.000861669,,,,,,,
Trunc. delay,359.9,293.05,5,0.003680286,,,,,,,
MECALS area,42,38.84,1,3.83E-06,,,,,,,
MECALS area,42,34.31,2,3.45E-05,,,,,,,
MECALS area,42,27.4,3,0.000187652,,,,,,,
MECALS area,42,22.08,4,0.000861669,,,,,,,
MECALS area,42,17.29,5,0.003680286,,,,,,,
MECALS delay,359.9,317.22,1,3.83E-06,,,,,,,
MECALS delay,359.9,344.47,2,3.45E-05,,,,,,,
MECALS delay,359.9,282.35,3,0.000187652,,,,,,,
MECALS delay,359.9,243.86,4,0.000861669,,,,,,,
MECALS delay,359.9,193.17,5,0.003680286,,,,,,,
